,each_original_data,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
1,y5 (1+) @ 523.33 & [b9 - NH3] (2+) @ 394.0,m1+2m2,1311.33,0,0,0,0,0,0,0,0,0,0
2,y5 (1+) @ 523.33 & b9 (2+) @ 402.67,m1+2m2,1328.67,1,1,1,1,1,1,1,1,1,1
3,y7 (2+) @ 319.0 & [b11 - NH3] (2+) @ 496.0,m1+2m2,1311.0,2,2,2,0,0,0,0,0,0,0
4,y9 (2+) @ 432.67 & b5 (1+) @ 463.0,2m1+m2,1328.3400000000001,3,3,3,1,1,1,1,1,1,1
5,y5 (2+) @ 262.0 & b9 (1+) @ 804.33,2m1+m2,1328.33,3,3,3,1,1,1,1,1,1,1
6,y7 (1+) @ 637.33 & [b7 - NH3] (2+) @ 337.0,m1+2m2,1311.33,0,0,0,0,0,0,0,0,0,0
7,y10 (2+) @ 476.33 & a4 (1+) @ 348.0,2m1+m2,1300.6599999999999,-1,-1,-1,2,2,2,2,2,2,2
8,y7 (2+) @ 319.0 & b11 (2+) @ 504.67,m1+2m2,1328.3400000000001,3,3,3,1,1,1,1,1,1,1
9,y4 (1+) @ 376.0 & [b10 - NH3] (2+) @ 467.67,m1+2m2,1311.3400000000001,0,0,0,0,0,0,0,0,0,0
10,y7 (1+) @ 637.33 & b7 (2+) @ 345.67,m1+2m2,1328.67,1,1,1,1,1,1,1,1,1,1
11,y6 (1+) @ 580.33 & [b8 - NH3] (2+) @ 365.33,m1+2m2,1310.99,2,2,2,0,0,0,0,0,0,0
12,y11 (2+) @ 550.0 & [b3 - H2O] (1+) @ 210.67,2m1+m2,1310.67,-1,-1,-1,0,0,0,0,0,0,0
13,y4 (1+) @ 375.67 & b10 (2+) @ 476.33,m1+2m2,1328.33,3,3,3,1,1,1,1,1,1,1
14,y9 (2+) @ 432.67 & [b5 - NH3] (1+) @ 446.0,m1+2m2,1324.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,y6 (1+) @ 580.33 & b8 (2+) @ 374.0,m1+2m2,1328.33,3,3,3,1,1,1,1,1,1,1
16,y5 (1+) @ 523.33 & [b9 – H2O – NH3] (2+) @ 385.0,m1+2m2,1293.33,4,4,4,3,3,3,3,3,3,3
17,y7 (1+) @ 637.33 & [b7 – H2O – NH3] (2+) @ 328.0,m1+2m2,1293.33,4,4,4,3,3,3,3,3,3,3
18,y5 (2+) @ 262.0 & [b9 - NH3] (1+) @ 787.33,2m1+m2,1311.33,0,0,0,0,0,0,0,0,0,0
19,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,2m1+m2,1328.67,1,1,1,1,1,1,1,1,1,1
20,[b11 – H2O – NH3] (2+) @ 487.33 & y3 (1+) @ 319.0,2m1+m2,1293.6599999999999,5,5,5,3,3,3,3,3,3,3
21,y6 (2+) @ 290.33 & b8 (1+) @ 747.33,2m1+m2,1327.99,6,6,6,1,1,1,1,1,1,1
22,y7 (2+) @ 319.0 & b7(1+) @ 690.33,2m1+m2,1328.33,3,3,3,1,1,1,1,1,1,1
23,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,2m1+m2,1293.3400000000001,4,4,4,3,3,3,3,3,3,3
24,y6 (1+) @ 580.33 & [b8 – H2O - NH3] (2+) @ 356.67,m1+2m2,1293.67,5,5,5,3,3,3,3,3,3,3
25,y6 (2+) @ 290.33 & [b8-NH3] (1+) @ 730.33,2m1+m2,1310.99,2,2,2,0,0,0,0,0,0,0
26,[y11 + G] (2+) @ 578.33 & bi2-3 (1+) @ 171.67,2m1+m2,1328.3300000000002,3,3,3,1,1,1,1,1,1,1
27,y9 (2+) @ 432.67 & ??? @ 383.0,2m1+m2,1248.3400000000001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,??? @ 595.33 & [b8 - NH3] (2+) @ 366.0,m1+2m2,1327.33,-1,-1,-1,-1,-1,-1,1,1,1,1
29,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,m1+2m2,1311.33,0,0,0,0,0,0,0,0,0,0
30,[y11 - G] (2+) @ 521.67 & [b3 + G] (1+) @ 285.67,2m1+m2,1329.01,-1,-1,-1,1,1,1,1,1,1,1
31,[b10/y10 – H2O – 2(NH3)] (2+) @ 450.0 & y4/b4 @ 376.0,2m1+m2,1276.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,[b8 – NH3] (1+) @ 730.33 & ai9-10 (1+) @ 176.67,m1+2m2,1083.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,b8 (1+) @ 747.33 & ai9-10 (1+) 176.67,m1+2m2,,,,,,,,,,,
34,y7 (2+) @ 319.0 & [b7-NH3] (1+) @ 673.33,2m1+m2,1311.33,0,0,0,0,0,0,0,0,0,0
35,y5 (2+) @ 262.0 & b12 (2+) @ 533.0,m1+2m2,1328.0,6,6,6,1,1,1,1,1,1,1
36,b8 (1+) @ 748.0 & ai9-10 (1+) @ 204.67,m1+2m2,1157.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,y11(2+) @ 549.67 & a3(1+) @ 201.67,2m1+m2,1301.01,-1,-1,-1,2,2,2,2,2,2,2
38,549.67 & 165.33,2m1+m2,1264.6699999999998,-1,-1,-1,4,4,4,4,4,4,4
39,y11 (2+) @ 550.0 & [a3 – 2(H2O)] (1+) @ 193.33,2m1+m2,1293.33,4,4,4,3,3,3,3,3,3,3
40,461.67 & 389.0,2m1+m2,1312.3400000000001,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
41,y11 (2+) @ 550.0 & [a3-NH3] (1+) @ 183.33,2m1+m2,1283.33,7,7,7,5,5,5,5,5,5,5
42,y4 (2+) @ 188.0 & [b10-NH3] (1+) @ 934.33,2m1+m2,1310.33,8,8,8,0,0,0,0,0,0,0
43,b11 (1+) @ 504.67 & [y3 – CO2] (1+) @ 274.0,2m1+m2,1283.3400000000001,7,7,7,5,5,5,5,5,5,5
44,y4 (1+) @ 376.0 & ai9-10 (1+) @ 176.67,2m1+m2,928.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,[b13-H2O-NH3] (2+) @ 559.33 & y1(1+) @ 175.0,2m1+m2,1293.66,5,5,5,3,3,3,3,3,3,3
46,y1 (1+) @ 174.67 & [b13-NH3] (2+) @ 567.67,m1+2m2,1310.01,-1,-1,-1,0,0,0,0,0,0,0
47,y5 (1+) @ 523.67 & ??? @ 370.33,m1+2m2,1264.33,-1,-1,-1,4,4,4,4,4,4,4
48,637.0 & 314.33,m1+2m2,1265.6599999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
49,589.33 & 131.67,2m1+m2,1310.3300000000002,8,8,8,0,0,0,0,0,0,0
50,[y10-H2O] (1+) @ 540.67 & [bi3-4 – 2(NH3)] (1+) @ 228.0,2m1+m2,1309.34,-1,-1,-1,-1,-1,-1,0,0,0,0
